"region","circle","division","sub_division","block","scheme_id","scheme_name","village_name","population","number_of_esr","water_value_day1","water_value_day2","water_value_day3","water_value_day4","water_value_day5","water_value_day6","lpcd_value_day1","lpcd_value_day2","lpcd_value_day3","lpcd_value_day4","lpcd_value_day5","lpcd_value_day6","lpcd_value_day7","water_date_day1","water_date_day2","water_date_day3","water_date_day4","water_date_day5","water_date_day6","lpcd_date_day1","lpcd_date_day2","lpcd_date_day3","lpcd_date_day4","lpcd_date_day5","lpcd_date_day6","lpcd_date_day7","consistent_zero_lpcd_for_a_week","below_55_lpcd_count","above_55_lpcd_count","dashboard_url"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Anakwadi",649,1,"0.000000","0.450000","0.000000","0.000000","0.940000","0.000000","0.000000","0.000000","69.340000","0.000000","0.000000","144.840000","0.000000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,5,2,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CAnakwadi"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Asegaon",4180,6,"0.450000","2.350000","0.420000","2.320000","0.000000","0.850000","61.240000","10.770000","56.220000","10.050000","55.500000","0.000000","20.330000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",1,4,3,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CAsegaon"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Ashti",3472,5,"2.860000","3.820000","3.520000","2.770000","4.060000","3.360000","77.480000","82.370000","110.020000","101.380000","79.780000","116.940000","96.770000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,0,7,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CAshti"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Bhalsi",519,1,"0.690000","0.830000","0.270000","0.300000","0.630000","0.090000","0.000000","132.950000","159.920000","52.020000","57.800000","121.390000","17.340000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",1,3,4,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CBhalsi"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Bhatkuli NP",1310,2,"9.080000","6.470000","6.800000","8.540000","7.780000","6.110000","633.590000","693.130000","493.890000","518.970000","651.910000","593.890000","466.410000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,0,7,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CBhatkuli%20NP"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Chakur",418,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,7,0,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CChakur"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Chimnapur E.",0,1,"0.000000","0.210000","0.000000","0.010000","0.210000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,7,0,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CChimnapur%20E."
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Amravati","20003791","105 Villages RRWSS","Chinchkheda",1185,2,"0.930000","0.910000","0.850000","0.680000","0.920000","1.030000","79.320000","78.480000","76.790000","71.730000","57.380000","77.640000","86.920000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,0,7,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Amravati%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CChinchkheda"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Chincholi",1637,3,"1.160000","1.190000","1.120000","1.190000","1.160000","1.020000","75.750000","70.860000","72.690000","68.420000","72.690000","70.860000","62.590000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,0,7,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CChincholi"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Dautpur -Kanfodi",353,1,"0.310000","0.550000","0.590000","0.430000","0.640000","0.720000","161.470000","87.820000","155.810000","167.140000","121.810000","181.300000","203.970000","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun",0,0,7,"https://14.99.99.166:18099/PIVision/#/Displays/10109/CEREBULB_JJM_MAHARASHTRA_VILLAGE_LEVEL_DASHBOARD?hidetoolbar=true&hidesidebar=true&mode=kiosk&rootpath=%5C%5CDemoAF%5CJJM%5CJJM%5CMaharashtra%5CRegion-Amaravati%5CCircle-Amravati%5CDivision-Amravati%20W.M%5CSub%20Division-W.M.Amravati%20-%202%5CBlock-Bhatkuli%5CScheme-20003791%20-%20105%20Villages%20RRWSS%5CDautpur%20-Kanfodi"
