"region","circle","division","sub_division","block","scheme_id","scheme_name","village_name","population","number_of_esr","water_value_day1","water_value_day2","water_value_day3","water_value_day4","water_value_day5","water_value_day6","lpcd_value_day1","lpcd_value_day2","lpcd_value_day3","lpcd_value_day4","lpcd_value_day5","lpcd_value_day6","lpcd_value_day7","water_date_day1","water_date_day2","water_date_day3","water_date_day4","water_date_day5","water_date_day6","lpcd_date_day1","lpcd_date_day2","lpcd_date_day3","lpcd_date_day4","lpcd_date_day5","lpcd_date_day6","lpcd_date_day7","consistent_zero_lpcd_for_a_week","below_55_lpcd_count","above_55_lpcd_count"
"﻿Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Chandur Bazar","20003791","105 Villages RRWSS","Krishnapur",1029,1,"1.470000","1.990000","1.850000","1.740000","1.090000","1.690000","190.150000","142.800000","193.390000","179.790000","169.100000","105.930000","164.150000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",0,0,7
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Chandur Bazar","20003791","105 Villages RRWSS","Lasanapur",100,1,"1.490000","1.610000","1.680000","1.660000","0.920000","1.760000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,7,0
"Amravati","Amravati","Amravati","Achalpur","Chandur Bazar","7945938","83 Village RRWS Scheme MJP RR (C 39)","Khel Sakharam (Kurha)",119,1,"0.110000","0.030000","0.020000","9.880000","14.750000","14.040000","7714.310000","90.180000","25.210000","16.810000","8302.520000","12390.760000","11795.690000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",0,2,5
"Amravati","Amravati","Amravati","Achalpur","Chandur Bazar","7945938","83 Village RRWS Scheme MJP RR (C 39)","Khel Choudhar",1350,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,7,0
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Amravati","20003791","105 Villages RRWSS","Selora",1555,1,"1.010000","1.130000","1.080000","0.960000","0.990000","0.650000","80.370000","65.230000","72.670000","69.450000","61.740000","63.670000","41.550000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",0,1,6
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Amravati","20003791","105 Villages RRWSS","Sayat",2238,5,"2.040000","1.680000","3.270000","0.000000","0.000000","2.150000","0.000000","91.180000","75.070000","146.110000","0.000000","0.000000","96.210000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",3,3,4
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Amravati","20003791","105 Villages RRWSS","Saur",3880,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,7,0
"Amravati","Amravati","Amravati","Achalpur","Chandur Bazar","7945938","83 Village RRWS Scheme MJP RR (C 39)","Kondwardha",235,1,"0.470000","0.630000","1.730000","0.810000","0.670000","0.910000","420.600000","201.500000","268.090000","736.170000","344.680000","285.110000","388.250000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",0,0,7
"Amravati","Amravati","Amravati","Achalpur","Achalpur","7945938","83 Village RRWS Scheme MJP RR (C 39)","Kolha",419,2,"2.410000","2.810000","3.300000","3.620000","1.870000","2.410000","822.030000","576.340000","670.640000","787.590000","864.710000","446.300000","576.150000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",0,0,7
"Amravati","Akola","Buldhana","Khamgaon","Nandura","20028083","Wadali & 8 Villages RRWSS","Wadali",1192,2,"5.110000","4.760000","5.540000","4.450000","1.320000","1.700000","211.660000","428.950000","399.620000","464.930000","373.100000","110.570000","142.840000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",0,0,7
